2026/08/10 07:20:30.109, 0, 93, 0
2026/08/10 07:20:30.111, 1, 15, 0
2026/08/10 07:20:31.147, 0, 93, 0
2026/08/10 07:20:31.149, 1, 15, 0
2026/08/10 07:20:32.183, 0, 401, 1
2026/08/10 07:20:32.185, 1, 18, 0
2026/08/10 07:20:33.224, 0, 433, 0
2026/08/10 07:20:33.226, 1, 18, 0
2026/08/10 07:20:34.267, 0, 433, 0
2026/08/10 07:20:34.269, 1, 18, 0
2026/08/10 07:20:35.311, 0, 433, 0
2026/08/10 07:20:35.313, 1, 18, 0
2026/08/10 07:20:36.353, 0, 433, 0
2026/08/10 07:20:36.355, 1, 18, 0
2026/08/10 07:20:37.395, 0, 433, 0
2026/08/10 07:20:37.397, 1, 18, 0
2026/08/10 07:20:38.433, 0, 433, 0
2026/08/10 07:20:38.435, 1, 18, 0
2026/08/10 07:20:39.473, 0, 433, 0
2026/08/10 07:20:39.474, 1, 323, 0
2026/08/10 07:20:40.509, 0, 433, 0
2026/08/10 07:20:40.511, 1, 355, 0
2026/08/10 07:20:41.549, 0, 433, 0
2026/08/10 07:20:41.551, 1, 355, 0
2026/08/10 07:20:42.588, 0, 433, 0
2026/08/10 07:20:42.590, 1, 355, 0
2026/08/10 07:20:43.628, 0, 433, 0
2026/08/10 07:20:43.630, 1, 355, 0
2026/08/10 07:20:44.667, 0, 433, 0
2026/08/10 07:20:44.669, 1, 355, 2
2026/08/10 07:20:45.708, 0, 1271, 0
2026/08/10 07:20:45.711, 1, 1353, 0
2026/08/10 07:20:46.755, 0, 1975, 92
2026/08/10 07:20:46.758, 1, 1769, 78
2026/08/10 07:20:47.804, 0, 1975, 80
2026/08/10 07:20:47.807, 1, 1929, 95
2026/08/10 07:20:48.852, 0, 2007, 85
2026/08/10 07:20:48.854, 1, 1993, 97
2026/08/10 07:20:49.900, 0, 2039, 63
2026/08/10 07:20:49.903, 1, 1993, 61
2026/08/10 07:20:50.950, 0, 2039, 99
2026/08/10 07:20:50.953, 1, 1993, 74
2026/08/10 07:20:52.001, 0, 2039, 100
2026/08/10 07:20:52.005, 1, 1993, 80
2026/08/10 07:20:53.051, 0, 2039, 72
2026/08/10 07:20:53.055, 1, 1993, 72
2026/08/10 07:20:54.103, 0, 2039, 85
2026/08/10 07:20:54.106, 1, 1993, 62
2026/08/10 07:20:55.145, 0, 2039, 68
2026/08/10 07:20:55.148, 1, 1993, 68
2026/08/10 07:20:56.191, 0, 2039, 81
2026/08/10 07:20:56.194, 1, 1993, 63
2026/08/10 07:20:57.241, 0, 2359, 87
2026/08/10 07:20:57.244, 1, 2249, 56
2026/08/10 07:20:58.292, 0, 2551, 68
2026/08/10 07:20:58.295, 1, 2537, 75
2026/08/10 07:20:59.340, 0, 3127, 63
2026/08/10 07:20:59.342, 1, 3017, 61
2026/08/10 07:21:00.389, 0, 3351, 74
2026/08/10 07:21:00.392, 1, 3017, 63
2026/08/10 07:21:01.447, 0, 3351, 59
2026/08/10 07:21:01.450, 1, 3241, 62
2026/08/10 07:21:02.494, 0, 5399, 35
2026/08/10 07:21:02.497, 1, 4297, 72
2026/08/10 07:21:03.547, 0, 7127, 84
2026/08/10 07:21:03.551, 1, 6313, 99
2026/08/10 07:21:04.596, 0, 10231, 94
2026/08/10 07:21:04.599, 1, 7977, 71
2026/08/10 07:21:05.644, 0, 9207, 97
2026/08/10 07:21:05.647, 1, 9993, 63
2026/08/10 07:21:06.689, 0, 11351, 95
2026/08/10 07:21:06.691, 1, 9993, 89
2026/08/10 07:21:07.739, 0, 11319, 94
2026/08/10 07:21:07.742, 1, 9993, 95
2026/08/10 07:21:08.790, 0, 11319, 72
2026/08/10 07:21:08.793, 1, 9993, 80
2026/08/10 07:21:09.849, 0, 11319, 67
2026/08/10 07:21:09.856, 1, 11017, 52
2026/08/10 07:21:10.914, 0, 11319, 89
2026/08/10 07:21:10.918, 1, 8009, 74
2026/08/10 07:21:11.973, 0, 11319, 34
2026/08/10 07:21:11.976, 1, 9609, 94
2026/08/10 07:21:13.029, 0, 11319, 97
2026/08/10 07:21:13.033, 1, 9641, 82
2026/08/10 07:21:14.083, 0, 11319, 18
2026/08/10 07:21:14.087, 1, 9737, 79
2026/08/10 07:21:15.136, 0, 11447, 83
2026/08/10 07:21:15.140, 1, 9897, 100
2026/08/10 07:21:16.185, 0, 11639, 81
2026/08/10 07:21:16.187, 1, 11081, 24
2026/08/10 07:21:17.232, 0, 11703, 81
2026/08/10 07:21:17.235, 1, 10601, 83
2026/08/10 07:21:18.282, 0, 11703, 92
2026/08/10 07:21:18.286, 1, 10601, 88
2026/08/10 07:21:19.328, 0, 11703, 76
