Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:26:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:27:40     all    0.10    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.78
09:27:41     all    0.25    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.69
09:27:42     all    0.26    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.65
09:27:43     all    0.10    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.76
09:27:44     all    0.22    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.65
09:27:45     all    0.32    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.53
09:27:46     all    0.08    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.85
09:27:47     all    0.51    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
09:27:48     all    0.83    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.92
09:27:49     all    0.22    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   99.32
09:27:50     all    0.76    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.94
09:27:51     all    0.26    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.68
09:27:52     all    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.81
09:27:53     all    0.65    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.15
09:27:54     all    0.32    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.53
09:27:55     all    0.13    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.74
Average:     all   18.06    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   80.88
