2026/08/10 07:31:56.080, 0, 93, 0
2026/08/10 07:31:56.084, 1, 15, 0
2026/08/10 07:31:57.129, 0, 93, 0
2026/08/10 07:31:57.133, 1, 15, 0
2026/08/10 07:31:58.174, 0, 401, 3
2026/08/10 07:31:58.176, 1, 18, 0
2026/08/10 07:31:59.216, 0, 401, 0
2026/08/10 07:31:59.218, 1, 18, 0
2026/08/10 07:32:00.259, 0, 433, 0
2026/08/10 07:32:00.261, 1, 18, 0
2026/08/10 07:32:01.298, 0, 433, 0
2026/08/10 07:32:01.300, 1, 18, 0
2026/08/10 07:32:02.342, 0, 433, 0
2026/08/10 07:32:02.344, 1, 18, 0
2026/08/10 07:32:03.387, 0, 433, 0
2026/08/10 07:32:03.389, 1, 18, 0
2026/08/10 07:32:04.431, 0, 433, 0
2026/08/10 07:32:04.433, 1, 18, 0
2026/08/10 07:32:05.472, 0, 433, 0
2026/08/10 07:32:05.474, 1, 323, 0
2026/08/10 07:32:06.508, 0, 433, 0
2026/08/10 07:32:06.510, 1, 355, 0
2026/08/10 07:32:07.542, 0, 433, 0
2026/08/10 07:32:07.544, 1, 355, 0
2026/08/10 07:32:08.576, 0, 433, 0
2026/08/10 07:32:08.578, 1, 355, 0
2026/08/10 07:32:09.615, 0, 433, 0
2026/08/10 07:32:09.617, 1, 355, 0
2026/08/10 07:32:10.654, 0, 433, 0
2026/08/10 07:32:10.656, 1, 355, 6
2026/08/10 07:32:11.696, 0, 1815, 0
2026/08/10 07:32:11.698, 1, 1731, 0
2026/08/10 07:32:12.739, 0, 2455, 63
2026/08/10 07:32:12.741, 1, 1769, 13
2026/08/10 07:32:13.784, 0, 3319, 81
2026/08/10 07:32:13.787, 1, 2953, 14
2026/08/10 07:32:14.838, 0, 3895, 46
2026/08/10 07:32:14.841, 1, 4297, 66
2026/08/10 07:32:15.891, 0, 4057, 99
2026/08/10 07:32:15.895, 1, 4457, 93
2026/08/10 07:32:16.946, 0, 4057, 79
2026/08/10 07:32:16.949, 1, 4459, 86
2026/08/10 07:32:17.994, 0, 4057, 85
2026/08/10 07:32:17.997, 1, 4459, 58
2026/08/10 07:32:19.043, 0, 4057, 92
2026/08/10 07:32:19.046, 1, 4459, 81
2026/08/10 07:32:20.090, 0, 4057, 54
2026/08/10 07:32:20.092, 1, 4459, 73
2026/08/10 07:32:21.134, 0, 4057, 71
2026/08/10 07:32:21.137, 1, 4459, 79
2026/08/10 07:32:22.181, 0, 4057, 91
2026/08/10 07:32:22.184, 1, 4459, 95
2026/08/10 07:32:23.227, 0, 4057, 31
2026/08/10 07:32:23.229, 1, 4459, 75
2026/08/10 07:32:24.277, 0, 4057, 59
2026/08/10 07:32:24.280, 1, 4459, 68
2026/08/10 07:32:25.323, 0, 4057, 62
2026/08/10 07:32:25.326, 1, 4459, 74
2026/08/10 07:32:26.369, 0, 4057, 66
2026/08/10 07:32:26.372, 1, 4459, 93
2026/08/10 07:32:27.418, 0, 4057, 87
2026/08/10 07:32:27.421, 1, 4459, 64
2026/08/10 07:32:28.478, 0, 8185, 94
2026/08/10 07:32:28.483, 1, 8171, 95
2026/08/10 07:32:29.537, 0, 10297, 100
2026/08/10 07:32:29.540, 1, 9195, 64
2026/08/10 07:32:30.587, 0, 11321, 100
2026/08/10 07:32:30.591, 1, 13067, 90
2026/08/10 07:32:31.635, 0, 11417, 74
2026/08/10 07:32:31.638, 1, 12395, 100
2026/08/10 07:32:32.688, 0, 11417, 69
2026/08/10 07:32:32.691, 1, 12395, 81
2026/08/10 07:32:33.740, 0, 11417, 100
2026/08/10 07:32:33.743, 1, 13419, 63
2026/08/10 07:32:34.787, 0, 13497, 69
2026/08/10 07:32:34.790, 1, 13419, 39
2026/08/10 07:32:35.839, 0, 13497, 73
2026/08/10 07:32:35.843, 1, 13419, 100
2026/08/10 07:32:36.892, 0, 13497, 69
2026/08/10 07:32:36.896, 1, 13419, 100
2026/08/10 07:32:37.949, 0, 13529, 70
2026/08/10 07:32:37.952, 1, 12843, 5
2026/08/10 07:32:39.004, 0, 13529, 87
2026/08/10 07:32:39.008, 1, 13419, 44
2026/08/10 07:32:40.060, 0, 13753, 75
2026/08/10 07:32:40.065, 1, 13419, 100
2026/08/10 07:32:41.111, 0, 13945, 99
2026/08/10 07:32:41.114, 1, 14635, 33
2026/08/10 07:32:42.158, 0, 14073, 66
2026/08/10 07:32:42.162, 1, 14635, 100
2026/08/10 07:32:43.213, 0, 14073, 87
2026/08/10 07:32:43.217, 1, 20203, 100
2026/08/10 07:32:44.271, 0, 16089, 100
2026/08/10 07:32:44.275, 1, 20363, 48
2026/08/10 07:32:45.327, 0, 16089, 32
2026/08/10 07:32:45.329, 1, 20363, 100
2026/08/10 07:32:46.372, 0, 16089, 56
