2026/08/10 09:03:45.688, 0, 93, 0
2026/08/10 09:03:45.692, 1, 15, 0
2026/08/10 09:03:46.736, 0, 93, 0
2026/08/10 09:03:46.739, 1, 15, 0
2026/08/10 09:03:47.778, 0, 401, 0
2026/08/10 09:03:47.779, 1, 18, 0
2026/08/10 09:03:48.821, 0, 433, 0
2026/08/10 09:03:48.823, 1, 18, 0
2026/08/10 09:03:49.864, 0, 433, 0
2026/08/10 09:03:49.866, 1, 18, 0
2026/08/10 09:03:50.908, 0, 433, 0
2026/08/10 09:03:50.910, 1, 18, 0
2026/08/10 09:03:51.952, 0, 433, 0
2026/08/10 09:03:51.954, 1, 18, 0
2026/08/10 09:03:52.996, 0, 433, 0
2026/08/10 09:03:52.998, 1, 18, 0
2026/08/10 09:03:54.141, 0, 433, 0
2026/08/10 09:03:54.145, 1, 33, 0
2026/08/10 09:03:55.187, 0, 433, 0
2026/08/10 09:03:55.189, 1, 323, 0
2026/08/10 09:03:56.227, 0, 433, 0
2026/08/10 09:03:56.229, 1, 355, 0
2026/08/10 09:03:57.265, 0, 433, 0
2026/08/10 09:03:57.267, 1, 355, 0
2026/08/10 09:03:58.304, 0, 433, 0
2026/08/10 09:03:58.306, 1, 355, 0
2026/08/10 09:03:59.344, 0, 433, 0
2026/08/10 09:03:59.346, 1, 355, 0
2026/08/10 09:04:00.380, 0, 433, 0
2026/08/10 09:04:00.381, 1, 355, 2
2026/08/10 09:04:01.421, 0, 1239, 0
2026/08/10 09:04:01.424, 1, 1225, 0
2026/08/10 09:04:02.472, 0, 1815, 91
2026/08/10 09:04:02.476, 1, 1641, 78
2026/08/10 09:04:03.525, 0, 1783, 50
2026/08/10 09:04:03.528, 1, 1897, 75
2026/08/10 09:04:04.577, 0, 1815, 77
2026/08/10 09:04:04.580, 1, 1897, 73
2026/08/10 09:04:05.626, 0, 1975, 39
2026/08/10 09:04:05.629, 1, 1897, 95
2026/08/10 09:04:06.674, 0, 1975, 52
2026/08/10 09:04:06.677, 1, 1897, 89
2026/08/10 09:04:07.721, 0, 1975, 68
2026/08/10 09:04:07.723, 1, 1897, 92
2026/08/10 09:04:08.769, 0, 1975, 81
2026/08/10 09:04:08.772, 1, 1897, 86
2026/08/10 09:04:09.817, 0, 1975, 69
2026/08/10 09:04:09.820, 1, 1897, 71
2026/08/10 09:04:10.864, 0, 1975, 77
2026/08/10 09:04:10.867, 1, 1897, 83
2026/08/10 09:04:11.911, 0, 1975, 84
2026/08/10 09:04:11.913, 1, 1897, 64
2026/08/10 09:04:12.959, 0, 1975, 85
2026/08/10 09:04:12.963, 1, 2185, 63
2026/08/10 09:04:14.008, 0, 2263, 50
2026/08/10 09:04:14.011, 1, 2441, 71
2026/08/10 09:04:15.056, 0, 2519, 74
2026/08/10 09:04:15.058, 1, 2697, 77
2026/08/10 09:04:16.104, 0, 2775, 71
2026/08/10 09:04:16.108, 1, 2697, 78
2026/08/10 09:04:17.161, 0, 2775, 70
2026/08/10 09:04:17.165, 1, 2697, 55
2026/08/10 09:04:18.221, 0, 5367, 67
2026/08/10 09:04:18.224, 1, 4265, 57
2026/08/10 09:04:19.271, 0, 8087, 90
2026/08/10 09:04:19.274, 1, 5769, 80
2026/08/10 09:04:20.319, 0, 9175, 100
2026/08/10 09:04:20.321, 1, 8009, 64
2026/08/10 09:04:21.367, 0, 9175, 76
2026/08/10 09:04:21.370, 1, 10249, 94
