2026/08/22 07:57:55.017, 0, 0 %, 217 MiB
2026/08/22 07:57:55.022, 1, 0 %, 16 MiB
2026/08/22 07:58:00.025, 0, 0 %, 481 MiB
2026/08/22 07:58:00.025, 1, 0 %, 347 MiB
2026/08/22 07:58:05.026, 0, 0 %, 567 MiB
2026/08/22 07:58:05.026, 1, 0 %, 347 MiB
2026/08/22 07:58:10.027, 0, 0 %, 633 MiB
2026/08/22 07:58:10.027, 1, 0 %, 389 MiB
2026/08/22 07:58:15.028, 0, 0 %, 633 MiB
2026/08/22 07:58:15.028, 1, 0 %, 431 MiB
2026/08/22 07:58:20.028, 0, 80 %, 1689 MiB
2026/08/22 07:58:20.034, 1, 82 %, 1521 MiB
2026/08/22 07:58:25.035, 0, 72 %, 2683 MiB
2026/08/22 07:58:25.035, 1, 56 %, 2289 MiB
2026/08/22 07:58:30.036, 0, 100 %, 3611 MiB
2026/08/22 07:58:30.036, 1, 100 %, 3601 MiB
2026/08/22 07:58:35.037, 0, 100 %, 4859 MiB
2026/08/22 07:58:35.039, 1, 100 %, 4305 MiB
2026/08/22 07:58:40.040, 0, 100 %, 5501 MiB
2026/08/22 07:58:40.041, 1, 88 %, 5287 MiB
2026/08/22 07:58:45.042, 0, 100 %, 6205 MiB
2026/08/22 07:58:45.042, 1, 100 %, 10887 MiB
2026/08/22 07:58:50.043, 0, 73 %, 6909 MiB
2026/08/22 07:58:50.044, 1, 13 %, 12403 MiB
2026/08/22 07:58:55.045, 0, 95 %, 7453 MiB
2026/08/22 07:58:55.048, 1, 91 %, 12917 MiB
2026/08/22 07:59:00.049, 0, 10 %, 8445 MiB
2026/08/22 07:59:00.131, 1, 100 %, 15009 MiB
2026/08/22 07:59:05.140, 0, 0 %, 9757 MiB
2026/08/22 07:59:05.140, 1, 81 %, 18253 MiB
2026/08/22 07:59:10.141, 0, 100 %, 9981 MiB
2026/08/22 07:59:10.143, 1, 100 %, 18863 MiB
2026/08/22 07:59:15.144, 0, 100 %, 10461 MiB
2026/08/22 07:59:15.147, 1, 56 %, 19407 MiB
2026/08/22 07:59:20.148, 0, 46 %, 11261 MiB
2026/08/22 07:59:20.150, 1, 68 %, 19823 MiB
2026/08/22 07:59:25.151, 0, 84 %, 11069 MiB
2026/08/22 07:59:25.151, 1, 100 %, 19695 MiB
2026/08/22 07:59:30.152, 0, 100 %, 11583 MiB
2026/08/22 07:59:30.153, 1, 100 %, 19793 MiB
2026/08/22 07:59:35.154, 0, 100 %, 11903 MiB
2026/08/22 07:59:35.204, 1, 62 %, 19921 MiB
2026/08/22 07:59:40.207, 0, 100 %, 13151 MiB
2026/08/22 07:59:40.208, 1, 100 %, 19953 MiB
2026/08/22 07:59:45.209, 0, 100 %, 13631 MiB
2026/08/22 07:59:45.210, 1, 100 %, 19729 MiB
2026/08/22 07:59:50.211, 0, 84 %, 14239 MiB
2026/08/22 07:59:50.212, 1, 100 %, 19857 MiB
2026/08/22 07:59:55.213, 0, 83 %, 14751 MiB
2026/08/22 07:59:55.214, 1, 100 %, 19857 MiB
2026/08/22 08:00:00.215, 0, 100 %, 16063 MiB
2026/08/22 08:00:00.216, 1, 100 %, 19825 MiB
2026/08/22 08:00:05.217, 0, 61 %, 15999 MiB
2026/08/22 08:00:05.218, 1, 100 %, 19569 MiB
2026/08/22 08:00:10.219, 0, 100 %, 17279 MiB
2026/08/22 08:00:10.220, 1, 91 %, 19409 MiB
2026/08/22 08:00:15.220, 0, 0 %, 17567 MiB
2026/08/22 08:00:15.221, 1, 77 %, 19185 MiB
2026/08/22 08:00:20.222, 0, 100 %, 18111 MiB
2026/08/22 08:00:20.222, 1, 100 %, 19185 MiB
2026/08/22 08:00:25.223, 0, 100 %, 18815 MiB
2026/08/22 08:00:25.223, 1, 100 %, 19217 MiB
2026/08/22 08:00:30.224, 0, 100 %, 19455 MiB
2026/08/22 08:00:30.225, 1, 100 %, 19089 MiB
2026/08/22 08:00:35.226, 0, 100 %, 19615 MiB
2026/08/22 08:00:35.226, 1, 98 %, 19185 MiB
2026/08/22 08:00:40.227, 0, 100 %, 20415 MiB
2026/08/22 08:00:40.228, 1, 100 %, 19057 MiB
2026/08/22 08:00:45.229, 0, 100 %, 20831 MiB
2026/08/22 08:00:45.230, 1, 100 %, 19217 MiB
2026/08/22 08:00:50.231, 0, 45 %, 21247 MiB
2026/08/22 08:00:50.232, 1, 100 %, 19089 MiB
2026/08/22 08:00:55.233, 0, 99 %, 21183 MiB
2026/08/22 08:00:55.234, 1, 100 %, 19345 MiB
2026/08/22 08:01:00.235, 0, 87 %, 21407 MiB
2026/08/22 08:01:00.235, 1, 100 %, 19121 MiB
2026/08/22 08:01:05.236, 0, 100 %, 21311 MiB
2026/08/22 08:01:05.238, 1, 100 %, 19089 MiB
2026/08/22 08:01:10.239, 0, 100 %, 21567 MiB
2026/08/22 08:01:10.240, 1, 91 %, 18993 MiB
2026/08/22 08:01:15.241, 0, 100 %, 22335 MiB
2026/08/22 08:01:15.241, 1, 100 %, 19473 MiB
2026/08/22 08:01:20.243, 0, 100 %, 21503 MiB
2026/08/22 08:01:20.244, 1, 99 %, 19409 MiB
2026/08/22 08:01:25.245, 0, 85 %, 21887 MiB
2026/08/22 08:01:25.246, 1, 100 %, 19505 MiB
2026/08/22 08:01:30.247, 0, 100 %, 21599 MiB
2026/08/22 08:01:30.248, 1, 68 %, 19729 MiB
2026/08/22 08:01:35.249, 0, 100 %, 21791 MiB
2026/08/22 08:01:35.249, 1, 100 %, 19665 MiB
2026/08/22 08:01:40.250, 0, 73 %, 21311 MiB
2026/08/22 08:01:40.250, 1, 100 %, 19985 MiB
2026/08/22 08:01:45.251, 0, 100 %, 21567 MiB
2026/08/22 08:01:45.253, 1, 100 %, 20433 MiB
2026/08/22 08:01:50.254, 0, 100 %, 21183 MiB
2026/08/22 08:01:50.254, 1, 88 %, 20593 MiB
2026/08/22 08:01:55.255, 0, 82 %, 20799 MiB
2026/08/22 08:01:55.350, 1, 100 %, 19985 MiB
2026/08/22 08:02:00.351, 0, 100 %, 21439 MiB
2026/08/22 08:02:00.352, 1, 100 %, 20657 MiB
2026/08/22 08:02:05.353, 0, 77 %, 21183 MiB
2026/08/22 08:02:05.354, 1, 100 %, 20945 MiB
2026/08/22 08:02:10.355, 0, 100 %, 21185 MiB
2026/08/22 08:02:10.356, 1, 100 %, 20851 MiB
