2026/08/22 08:15:22.694, 0, 0 %, 217 MiB
2026/08/22 08:15:22.698, 1, 0 %, 16 MiB
2026/08/22 08:15:27.702, 0, 0 %, 481 MiB
2026/08/22 08:15:27.702, 1, 0 %, 347 MiB
2026/08/22 08:15:32.702, 0, 0 %, 567 MiB
2026/08/22 08:15:32.703, 1, 0 %, 347 MiB
2026/08/22 08:15:37.703, 0, 0 %, 633 MiB
2026/08/22 08:15:37.703, 1, 0 %, 389 MiB
2026/08/22 08:15:42.704, 0, 0 %, 633 MiB
2026/08/22 08:15:42.704, 1, 1 %, 431 MiB
2026/08/22 08:15:47.705, 0, 21 %, 1113 MiB
2026/08/22 08:15:47.705, 1, 26 %, 977 MiB
2026/08/22 08:15:52.706, 0, 88 %, 2105 MiB
2026/08/22 08:15:52.708, 1, 90 %, 1905 MiB
2026/08/22 08:15:57.709, 0, 88 %, 3131 MiB
2026/08/22 08:15:57.760, 1, 68 %, 7463 MiB
2026/08/22 08:16:02.761, 0, 63 %, 4027 MiB
2026/08/22 08:16:02.761, 1, 94 %, 12711 MiB
2026/08/22 08:16:07.762, 0, 51 %, 5275 MiB
2026/08/22 08:16:07.762, 1, 90 %, 13735 MiB
2026/08/22 08:16:12.763, 0, 81 %, 6139 MiB
2026/08/22 08:16:12.765, 1, 77 %, 18111 MiB
2026/08/22 08:16:17.766, 0, 2 %, 6591 MiB
2026/08/22 08:16:17.766, 1, 1 %, 18915 MiB
2026/08/22 08:16:22.767, 0, 77 %, 7839 MiB
2026/08/22 08:16:22.768, 1, 78 %, 19523 MiB
2026/08/22 08:16:27.769, 0, 19 %, 8095 MiB
2026/08/22 08:16:27.771, 1, 38 %, 20611 MiB
2026/08/22 08:16:32.772, 0, 98 %, 9247 MiB
2026/08/22 08:16:32.773, 1, 79 %, 21123 MiB
2026/08/22 08:16:37.774, 0, 79 %, 10015 MiB
2026/08/22 08:16:37.776, 1, 67 %, 21571 MiB
2026/08/22 08:16:42.777, 0, 70 %, 10111 MiB
2026/08/22 08:16:42.778, 1, 60 %, 22179 MiB
2026/08/22 08:16:47.779, 0, 11 %, 10431 MiB
2026/08/22 08:16:47.780, 1, 100 %, 22211 MiB
2026/08/22 08:16:52.781, 0, 100 %, 12095 MiB
2026/08/22 08:16:52.781, 1, 84 %, 21699 MiB
2026/08/22 08:16:57.782, 0, 61 %, 12991 MiB
2026/08/22 08:16:57.782, 1, 99 %, 21251 MiB
2026/08/22 08:17:02.783, 0, 88 %, 12991 MiB
