2026/08/22 07:24:35.779, 0, 0 %, 217 MiB
2026/08/22 07:24:35.783, 1, 0 %, 16 MiB
2026/08/22 07:24:40.787, 0, 0 %, 481 MiB
2026/08/22 07:24:40.787, 1, 0 %, 347 MiB
2026/08/22 07:24:45.787, 0, 0 %, 567 MiB
2026/08/22 07:24:45.788, 1, 0 %, 347 MiB
2026/08/22 07:24:50.788, 0, 0 %, 633 MiB
2026/08/22 07:24:50.788, 1, 0 %, 389 MiB
2026/08/22 07:24:55.789, 0, 0 %, 633 MiB
2026/08/22 07:24:55.789, 1, 0 %, 431 MiB
2026/08/22 07:25:00.790, 0, 84 %, 1625 MiB
2026/08/22 07:25:00.795, 1, 82 %, 1457 MiB
2026/08/22 07:25:05.795, 0, 69 %, 2523 MiB
2026/08/22 07:25:05.796, 1, 80 %, 2289 MiB
2026/08/22 07:25:10.797, 0, 100 %, 3530 MiB
2026/08/22 07:25:10.798, 1, 100 %, 3411 MiB
2026/08/22 07:25:15.800, 0, 100 %, 4347 MiB
2026/08/22 07:25:15.800, 1, 98 %, 4115 MiB
2026/08/22 07:25:20.801, 0, 98 %, 5179 MiB
2026/08/22 07:25:20.815, 1, 83 %, 5255 MiB
2026/08/22 07:25:25.816, 0, 100 %, 5949 MiB
2026/08/22 07:25:25.817, 1, 79 %, 10667 MiB
2026/08/22 07:25:30.818, 0, 100 %, 6653 MiB
2026/08/22 07:25:30.819, 1, 66 %, 12041 MiB
2026/08/22 07:25:35.820, 0, 93 %, 7677 MiB
2026/08/22 07:25:35.821, 1, 100 %, 13781 MiB
2026/08/22 07:25:40.822, 0, 100 %, 8349 MiB
2026/08/22 07:25:40.823, 1, 92 %, 14037 MiB
2026/08/22 07:25:45.824, 0, 94 %, 8893 MiB
2026/08/22 07:25:45.825, 1, 100 %, 17249 MiB
2026/08/22 07:25:50.826, 0, 98 %, 9437 MiB
2026/08/22 07:25:50.827, 1, 100 %, 18145 MiB
2026/08/22 07:25:55.828, 0, 97 %, 10429 MiB
2026/08/22 07:25:55.830, 1, 100 %, 18593 MiB
2026/08/22 07:26:00.831, 0, 57 %, 11101 MiB
2026/08/22 07:26:00.832, 1, 83 %, 18593 MiB
2026/08/22 07:26:05.833, 0, 100 %, 11327 MiB
2026/08/22 07:26:05.833, 1, 100 %, 19267 MiB
