2026/08/10 09:09:19.046, 0, 93, 0
2026/08/10 09:09:19.047, 1, 15, 0
2026/08/10 09:09:20.083, 0, 93, 93
2026/08/10 09:09:20.086, 1, 15, 100
2026/08/10 09:09:21.123, 0, 401, 0
2026/08/10 09:09:21.125, 1, 18, 0
2026/08/10 09:09:22.162, 0, 401, 0
2026/08/10 09:09:22.163, 1, 18, 0
2026/08/10 09:09:23.202, 0, 433, 0
2026/08/10 09:09:23.204, 1, 18, 0
2026/08/10 09:09:24.243, 0, 433, 0
2026/08/10 09:09:24.245, 1, 18, 0
2026/08/10 09:09:25.286, 0, 433, 0
2026/08/10 09:09:25.288, 1, 18, 0
2026/08/10 09:09:26.330, 0, 433, 0
2026/08/10 09:09:26.332, 1, 18, 0
2026/08/10 09:09:27.372, 0, 433, 0
2026/08/10 09:09:27.374, 1, 18, 0
2026/08/10 09:09:28.411, 0, 433, 0
2026/08/10 09:09:28.413, 1, 323, 0
2026/08/10 09:09:29.449, 0, 433, 0
2026/08/10 09:09:29.451, 1, 355, 0
2026/08/10 09:09:30.488, 0, 433, 0
2026/08/10 09:09:30.490, 1, 355, 21
2026/08/10 09:09:31.527, 0, 433, 0
2026/08/10 09:09:31.529, 1, 355, 0
2026/08/10 09:09:32.562, 0, 433, 0
2026/08/10 09:09:32.564, 1, 355, 0
2026/08/10 09:09:33.596, 0, 433, 0
2026/08/10 09:09:33.598, 1, 355, 0
2026/08/10 09:09:34.634, 0, 1527, 5
2026/08/10 09:09:34.636, 1, 1737, 11
2026/08/10 09:09:35.677, 0, 2199, 79
2026/08/10 09:09:35.680, 1, 2121, 69
2026/08/10 09:09:36.727, 0, 3319, 11
2026/08/10 09:09:36.729, 1, 3241, 70
2026/08/10 09:09:37.793, 0, 3351, 54
2026/08/10 09:09:37.796, 1, 3241, 80
2026/08/10 09:09:38.844, 0, 3545, 37
2026/08/10 09:09:38.846, 1, 3563, 100
2026/08/10 09:09:39.887, 0, 3545, 76
2026/08/10 09:09:39.890, 1, 3563, 96
2026/08/10 09:09:40.933, 0, 3577, 81
2026/08/10 09:09:40.935, 1, 3563, 57
2026/08/10 09:09:41.979, 0, 3577, 94
2026/08/10 09:09:41.982, 1, 3563, 95
2026/08/10 09:09:43.027, 0, 3577, 99
2026/08/10 09:09:43.030, 1, 3563, 93
2026/08/10 09:09:44.074, 0, 3577, 100
2026/08/10 09:09:44.077, 1, 3563, 74
2026/08/10 09:09:45.123, 0, 3577, 80
2026/08/10 09:09:45.126, 1, 3563, 68
2026/08/10 09:09:46.172, 0, 3577, 97
2026/08/10 09:09:46.174, 1, 3563, 75
2026/08/10 09:09:47.220, 0, 4121, 47
2026/08/10 09:09:47.223, 1, 3563, 67
2026/08/10 09:09:48.270, 0, 4633, 82
2026/08/10 09:09:48.272, 1, 5131, 51
2026/08/10 09:09:49.320, 0, 5657, 74
2026/08/10 09:09:49.324, 1, 5131, 39
2026/08/10 09:09:50.393, 0, 5657, 53
2026/08/10 09:09:50.398, 1, 5131, 87
2026/08/10 09:09:51.453, 0, 9209, 81
2026/08/10 09:09:51.456, 1, 7179, 100
2026/08/10 09:09:52.501, 0, 11449, 92
2026/08/10 09:09:52.504, 1, 12459, 100
2026/08/10 09:09:53.548, 0, 15609, 91
2026/08/10 09:09:53.551, 1, 14475, 75
2026/08/10 09:09:54.598, 0, 15609, 46
2026/08/10 09:09:54.602, 1, 17675, 89
2026/08/10 09:09:55.658, 0, 15609, 55
2026/08/10 09:09:55.663, 1, 17675, 62
2026/08/10 09:09:56.731, 0, 15609, 74
2026/08/10 09:09:56.737, 1, 19819, 57
2026/08/10 09:09:57.810, 0, 17817, 34
2026/08/10 09:09:57.816, 1, 19819, 58
2026/08/10 09:09:58.876, 0, 17817, 83
2026/08/10 09:09:58.880, 1, 19947, 62
2026/08/10 09:09:59.924, 0, 19993, 38
2026/08/10 09:09:59.928, 1, 19947, 33
2026/08/10 09:10:00.973, 0, 20153, 97
2026/08/10 09:10:00.977, 1, 20107, 36
2026/08/10 09:10:02.029, 0, 20153, 82
2026/08/10 09:10:02.034, 1, 20491, 99
2026/08/10 09:10:03.092, 0, 20153, 62
2026/08/10 09:10:03.096, 1, 20491, 79
2026/08/10 09:10:04.148, 0, 22329, 100
2026/08/10 09:10:04.151, 1, 20491, 99
2026/08/10 09:10:05.201, 0, 22425, 43
2026/08/10 09:10:05.204, 1, 20491, 53
2026/08/10 09:10:06.255, 0, 22425, 100
2026/08/10 09:10:06.258, 1, 20587, 72
2026/08/10 09:10:07.307, 0, 22425, 100
2026/08/10 09:10:07.311, 1, 20587, 100
2026/08/10 09:10:08.357, 0, 14521, 95
2026/08/10 09:10:08.360, 1, 22635, 94
2026/08/10 09:10:09.404, 0, 15929, 81
2026/08/10 09:10:09.407, 1, 22635, 76
2026/08/10 09:10:10.453, 0, 15929, 94
2026/08/10 09:10:10.456, 1, 22859, 54
2026/08/10 09:10:11.504, 0, 18969, 78
2026/08/10 09:10:11.506, 1, 22859, 64
2026/08/10 09:10:12.550, 0, 17913, 100
2026/08/10 09:10:12.553, 1, 20491, 99
2026/08/10 09:10:13.600, 0, 17913, 90
2026/08/10 09:10:13.604, 1, 17099, 87
2026/08/10 09:10:14.655, 0, 17913, 43
2026/08/10 09:10:14.658, 1, 18219, 100
2026/08/10 09:10:15.704, 0, 18105, 93
2026/08/10 09:10:15.707, 1, 18219, 74
2026/08/10 09:10:16.752, 0, 18265, 100
2026/08/10 09:10:16.755, 1, 18219, 100
2026/08/10 09:10:17.803, 0, 18265, 48
2026/08/10 09:10:17.807, 1, 18219, 61
2026/08/10 09:10:18.857, 0, 18265, 100
2026/08/10 09:10:18.860, 1, 20267, 100
2026/08/10 09:10:19.907, 0, 18265, 92
2026/08/10 09:10:19.910, 1, 20267, 80
2026/08/10 09:10:20.955, 0, 12729, 88
2026/08/10 09:10:20.958, 1, 20267, 100
2026/08/10 09:10:22.014, 0, 13241, 66
2026/08/10 09:10:22.018, 1, 20267, 68
2026/08/10 09:10:23.075, 0, 16953, 100
2026/08/10 09:10:23.079, 1, 20267, 57
2026/08/10 09:10:24.126, 0, 15961, 95
2026/08/10 09:10:24.128, 1, 22443, 98
2026/08/10 09:10:25.186, 0, 15993, 75
2026/08/10 09:10:25.192, 1, 22443, 100
2026/08/10 09:10:26.248, 0, 15993, 82
2026/08/10 09:10:26.252, 1, 22539, 84
2026/08/10 09:10:27.303, 0, 15993, 49
2026/08/10 09:10:27.306, 1, 22539, 100
2026/08/10 09:10:28.352, 0, 15993, 100
2026/08/10 09:10:28.355, 1, 22539, 93
2026/08/10 09:10:29.400, 0, 18041, 62
2026/08/10 09:10:29.403, 1, 22539, 75
2026/08/10 09:10:30.451, 0, 18041, 71
2026/08/10 09:10:30.454, 1, 22539, 36
2026/08/10 09:10:31.506, 0, 14873, 100
2026/08/10 09:10:31.509, 1, 20107, 76
2026/08/10 09:10:32.558, 0, 14745, 36
2026/08/10 09:10:32.561, 1, 20107, 100
2026/08/10 09:10:33.609, 0, 15801, 72
2026/08/10 09:10:33.613, 1, 20107, 69
2026/08/10 09:10:34.668, 0, 17881, 100
2026/08/10 09:10:34.673, 1, 20171, 100
2026/08/10 09:10:35.723, 0, 19833, 100
2026/08/10 09:10:35.726, 1, 22379, 59
