2026/08/09 19:53:17.817, 0, 93, 0, 50.62
2026/08/09 19:53:17.825, 1, 15, 0, 29.07
2026/08/09 19:53:18.833, 0, 93, 0, 50.65
2026/08/09 19:53:18.833, 1, 15, 0, 29.04
2026/08/09 19:53:19.833, 0, 95, 0, 50.71
2026/08/09 19:53:19.833, 1, 301, 0, 29.11
2026/08/09 19:53:20.833, 0, 95, 0, 50.51
2026/08/09 19:53:20.841, 1, 301, 4, 88.48
2026/08/09 19:53:21.842, 0, 385, 0, 116.21
2026/08/09 19:53:21.842, 1, 301, 1, 119.61
2026/08/09 19:53:22.842, 0, 417, 0, 141.38
2026/08/09 19:53:22.842, 1, 301, 0, 120.14
2026/08/09 19:53:23.842, 0, 417, 0, 141.66
2026/08/09 19:53:23.843, 1, 301, 0, 120.18
2026/08/09 19:53:24.843, 0, 417, 0, 141.73
2026/08/09 19:53:24.843, 1, 329, 0, 120.28
2026/08/09 19:53:25.843, 0, 417, 0, 141.98
2026/08/09 19:53:25.843, 1, 329, 0, 120.55
2026/08/09 19:53:26.843, 0, 417, 0, 141.98
2026/08/09 19:53:26.844, 1, 361, 0, 120.71
2026/08/09 19:53:27.844, 0, 417, 0, 142.06
2026/08/09 19:53:27.844, 1, 361, 0, 119.15
2026/08/09 19:53:28.844, 0, 417, 0, 142.26
2026/08/09 19:53:28.844, 1, 361, 0, 119.35
2026/08/09 19:53:29.845, 0, 417, 0, 142.36
2026/08/09 19:53:29.845, 1, 435, 0, 119.39
2026/08/09 19:53:30.845, 0, 417, 0, 142.42
2026/08/09 19:53:30.845, 1, 1013, 1, 120.26
2026/08/09 19:53:31.845, 0, 417, 0, 142.53
2026/08/09 19:53:31.845, 1, 1235, 34, 151.37
2026/08/09 19:53:32.846, 0, 417, 0, 142.74
2026/08/09 19:53:32.846, 1, 1609, 30, 148.18
2026/08/09 19:53:33.846, 0, 417, 0, 142.81
2026/08/09 19:53:33.846, 1, 1609, 20, 146.17
2026/08/09 19:53:34.847, 0, 417, 0, 143.06
2026/08/09 19:53:34.847, 1, 1609, 25, 142.44
2026/08/09 19:53:35.847, 0, 417, 0, 143.21
2026/08/09 19:53:35.847, 1, 1609, 25, 150.20
2026/08/09 19:53:36.847, 0, 417, 0, 143.21
2026/08/09 19:53:36.848, 1, 1609, 24, 146.70
2026/08/09 19:53:37.848, 0, 417, 0, 143.18
2026/08/09 19:53:37.848, 1, 1611, 27, 151.06
2026/08/09 19:53:38.848, 0, 417, 0, 143.28
2026/08/09 19:53:38.848, 1, 1611, 0, 149.08
2026/08/09 19:53:39.849, 0, 417, 0, 143.43
2026/08/09 19:53:39.849, 1, 1611, 27, 151.61
2026/08/09 19:53:40.849, 0, 417, 0, 143.54
2026/08/09 19:53:40.849, 1, 1611, 13, 148.47
2026/08/09 19:53:41.849, 0, 417, 0, 143.73
2026/08/09 19:53:41.850, 1, 1611, 25, 151.02
2026/08/09 19:53:42.850, 0, 417, 0, 77.72
2026/08/09 19:53:42.850, 1, 1611, 25, 147.77
2026/08/09 19:53:43.850, 0, 417, 0, 55.48
2026/08/09 19:53:43.850, 1, 1611, 23, 150.06
2026/08/09 19:53:44.850, 0, 417, 0, 52.53
2026/08/09 19:53:44.850, 1, 1611, 29, 148.49
2026/08/09 19:53:45.851, 0, 417, 0, 52.57
2026/08/09 19:53:45.851, 1, 1611, 27, 148.06
2026/08/09 19:53:46.851, 0, 417, 0, 52.49
2026/08/09 19:53:46.851, 1, 1611, 24, 149.35
2026/08/09 19:53:47.851, 0, 417, 0, 52.35
2026/08/09 19:53:47.852, 1, 1611, 29, 147.57
2026/08/09 19:53:48.852, 0, 417, 0, 52.30
2026/08/09 19:53:48.852, 1, 1611, 25, 151.57
2026/08/09 19:53:49.852, 0, 417, 0, 52.27
2026/08/09 19:53:49.852, 1, 1611, 27, 148.00
2026/08/09 19:53:50.853, 0, 417, 0, 52.22
2026/08/09 19:53:50.853, 1, 1611, 28, 153.60
2026/08/09 19:53:51.853, 0, 417, 0, 52.16
2026/08/09 19:53:51.853, 1, 1611, 0, 150.29
2026/08/09 19:53:52.853, 0, 417, 0, 52.16
2026/08/09 19:53:52.854, 1, 1611, 29, 155.28
2026/08/09 19:53:53.854, 0, 417, 0, 52.17
2026/08/09 19:53:53.854, 1, 1611, 27, 151.24
2026/08/09 19:53:54.854, 0, 417, 0, 52.20
2026/08/09 19:53:54.854, 1, 1611, 28, 151.25
2026/08/09 19:53:55.855, 0, 417, 0, 52.20
2026/08/09 19:53:55.855, 1, 1611, 25, 155.06
2026/08/09 19:53:56.855, 0, 417, 0, 52.10
2026/08/09 19:53:56.855, 1, 1611, 25, 150.84
2026/08/09 19:53:57.855, 0, 417, 0, 52.20
2026/08/09 19:53:57.856, 1, 1611, 27, 154.77
2026/08/09 19:53:58.856, 0, 417, 0, 52.09
2026/08/09 19:53:58.856, 1, 1611, 10, 150.44
2026/08/09 19:53:59.856, 0, 417, 0, 52.22
2026/08/09 19:53:59.856, 1, 1611, 25, 154.32
2026/08/09 19:54:00.857, 0, 417, 0, 52.27
2026/08/09 19:54:00.857, 1, 1611, 29, 150.79
2026/08/09 19:54:01.857, 0, 417, 0, 52.29
2026/08/09 19:54:01.857, 1, 1611, 28, 153.46
2026/08/09 19:54:02.857, 0, 417, 0, 52.14
2026/08/09 19:54:02.857, 1, 1611, 27, 150.99
2026/08/09 19:54:03.857, 0, 417, 0, 52.03
2026/08/09 19:54:03.858, 1, 1611, 27, 150.87
2026/08/09 19:54:04.858, 0, 417, 0, 52.06
2026/08/09 19:54:04.858, 1, 1611, 26, 154.25
2026/08/09 19:54:05.858, 0, 417, 0, 52.03
2026/08/09 19:54:05.858, 1, 1611, 23, 151.01
2026/08/09 19:54:06.859, 0, 417, 0, 52.10
2026/08/09 19:54:06.859, 1, 1611, 26, 154.01
2026/08/09 19:54:07.859, 0, 417, 0, 52.08
2026/08/09 19:54:07.859, 1, 1611, 28, 151.53
2026/08/09 19:54:08.859, 0, 417, 0, 51.98
2026/08/09 19:54:08.860, 1, 1611, 24, 154.94
2026/08/09 19:54:09.860, 0, 417, 0, 51.96
2026/08/09 19:54:09.860, 1, 1611, 28, 151.88
2026/08/09 19:54:10.860, 0, 417, 0, 51.90
2026/08/09 19:54:10.860, 1, 1611, 28, 151.24
2026/08/09 19:54:11.861, 0, 417, 0, 52.00
2026/08/09 19:54:11.861, 1, 1611, 27, 154.90
2026/08/09 19:54:12.861, 0, 417, 0, 51.90
2026/08/09 19:54:12.861, 1, 1611, 27, 152.01
2026/08/09 19:54:13.861, 0, 417, 0, 51.94
2026/08/09 19:54:13.862, 1, 1611, 26, 155.45
2026/08/09 19:54:14.862, 0, 417, 0, 51.99
2026/08/09 19:54:14.862, 1, 1611, 14, 151.41
2026/08/09 19:54:15.862, 0, 417, 0, 51.98
2026/08/09 19:54:15.862, 1, 1611, 28, 154.93
2026/08/09 19:54:16.863, 0, 417, 0, 52.01
2026/08/09 19:54:16.863, 1, 1611, 28, 150.96
2026/08/09 19:54:17.863, 0, 417, 0, 51.96
2026/08/09 19:54:17.863, 1, 1611, 27, 152.78
2026/08/09 19:54:18.863, 0, 417, 0, 51.88
2026/08/09 19:54:18.863, 1, 1611, 28, 151.50
2026/08/09 19:54:19.864, 0, 417, 0, 51.87
2026/08/09 19:54:19.864, 1, 1611, 28, 151.57
2026/08/09 19:54:20.864, 0, 417, 0, 51.75
2026/08/09 19:54:20.864, 1, 1611, 30, 154.48
2026/08/09 19:54:21.864, 0, 417, 0, 51.82
2026/08/09 19:54:21.865, 1, 1611, 28, 151.11
2026/08/09 19:54:22.865, 0, 417, 0, 51.86
2026/08/09 19:54:22.865, 1, 1611, 27, 155.35
2026/08/09 19:54:23.865, 0, 417, 0, 51.83
2026/08/09 19:54:23.865, 1, 1611, 27, 151.28
2026/08/09 19:54:24.866, 0, 417, 0, 51.79
2026/08/09 19:54:24.866, 1, 1611, 2, 151.68
2026/08/09 19:54:25.866, 0, 417, 0, 51.87
2026/08/09 19:54:25.866, 1, 1611, 24, 153.02
2026/08/09 19:54:26.866, 0, 417, 0, 51.91
2026/08/09 19:54:26.867, 1, 1611, 30, 151.32
2026/08/09 19:54:27.867, 0, 417, 0, 51.86
2026/08/09 19:54:27.867, 1, 1611, 26, 156.48
2026/08/09 19:54:28.867, 0, 417, 0, 51.90
2026/08/09 19:54:28.867, 1, 1611, 28, 152.74
2026/08/09 19:54:29.868, 0, 417, 0, 51.93
2026/08/09 19:54:29.868, 1, 1611, 27, 155.42
2026/08/09 19:54:30.868, 0, 417, 0, 52.00
2026/08/09 19:54:30.868, 1, 1611, 29, 151.92
2026/08/09 19:54:31.868, 0, 417, 0, 52.02
2026/08/09 19:54:31.869, 1, 1611, 30, 155.75
2026/08/09 19:54:32.869, 0, 417, 0, 52.04
2026/08/09 19:54:32.869, 1, 1611, 31, 152.69
2026/08/09 19:54:33.869, 0, 417, 0, 51.97
2026/08/09 19:54:33.870, 1, 1611, 25, 155.31
2026/08/09 19:54:34.870, 0, 417, 0, 51.87
2026/08/09 19:54:34.870, 1, 1611, 27, 152.19
2026/08/09 19:54:35.870, 0, 417, 0, 51.90
2026/08/09 19:54:35.870, 1, 1611, 6, 151.20
2026/08/09 19:54:36.871, 0, 417, 0, 51.91
2026/08/09 19:54:36.871, 1, 1611, 26, 153.01
2026/08/09 19:54:37.871, 0, 417, 0, 51.84
2026/08/09 19:54:37.871, 1, 1611, 30, 152.65
2026/08/09 19:54:38.871, 0, 417, 0, 51.81
