2026/08/09 21:12:17.585, 0, 0, 0, 93, 24576, 50.17
2026/08/09 21:12:17.593, 1, 0, 0, 15, 24576, 28.63
2026/08/09 21:12:18.598, 0, 0, 0, 93, 24576, 50.17
2026/08/09 21:12:18.599, 1, 0, 0, 15, 24576, 28.54
2026/08/09 21:12:19.599, 0, 0, 0, 95, 24576, 50.15
2026/08/09 21:12:19.599, 1, 0, 0, 321, 24576, 31.41
2026/08/09 21:12:20.599, 0, 0, 0, 95, 24576, 50.16
2026/08/09 21:12:20.599, 1, 0, 0, 321, 24576, 98.82
2026/08/09 21:12:21.600, 0, 0, 0, 385, 24576, 101.57
2026/08/09 21:12:21.600, 1, 0, 0, 321, 24576, 116.95
2026/08/09 21:12:22.600, 0, 0, 0, 417, 24576, 140.08
2026/08/09 21:12:22.600, 1, 0, 0, 321, 24576, 117.22
2026/08/09 21:12:23.600, 0, 0, 0, 417, 24576, 140.42
2026/08/09 21:12:23.601, 1, 0, 0, 321, 24576, 117.41
2026/08/09 21:12:24.601, 0, 0, 0, 417, 24576, 140.65
2026/08/09 21:12:24.601, 1, 0, 0, 321, 24576, 117.53
2026/08/09 21:12:25.601, 0, 2, 0, 417, 24576, 140.81
2026/08/09 21:12:25.601, 1, 0, 0, 349, 24576, 117.69
2026/08/09 21:12:26.602, 0, 0, 0, 417, 24576, 140.90
2026/08/09 21:12:26.602, 1, 0, 0, 381, 24576, 117.94
2026/08/09 21:12:27.602, 0, 0, 0, 417, 24576, 140.90
2026/08/09 21:12:27.602, 1, 0, 0, 381, 24576, 118.17
2026/08/09 21:12:28.603, 0, 0, 0, 417, 24576, 140.93
2026/08/09 21:12:28.603, 1, 0, 0, 381, 24576, 118.24
2026/08/09 21:12:29.603, 0, 0, 0, 417, 24576, 141.03
2026/08/09 21:12:29.603, 1, 0, 0, 381, 24576, 118.29
2026/08/09 21:12:30.603, 0, 0, 0, 2113, 24576, 157.70
2026/08/09 21:12:30.603, 1, 17, 7, 2149, 24576, 138.88
2026/08/09 21:12:31.604, 0, 25, 10, 2113, 24576, 214.22
2026/08/09 21:12:31.604, 1, 31, 12, 2501, 24576, 217.41
2026/08/09 21:12:32.604, 0, 41, 17, 2113, 24576, 217.52
2026/08/09 21:12:32.604, 1, 56, 24, 3589, 24576, 249.23
2026/08/09 21:12:33.605, 0, 66, 28, 2689, 24576, 230.34
2026/08/09 21:12:33.605, 1, 69, 30, 3653, 24576, 265.77
2026/08/09 21:12:34.605, 0, 87, 48, 2817, 24576, 228.68
